word,chinese_learner_error,error_type,correction,ai_recognition_notes,evidence_tag
curriculum,"medial /kj/ glide dropped (same pattern as accurate, Batch 4)",consonant,"drill the /kj/ glide explicitly before the full word","low-to-medium risk; primarily Pronunciation-band",Hypothesis
assignment,"diphthong monophthongization; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistake 4)","vowel, consonant","exaggerate /aɪ/ glide, then drill final cluster","two compounding error-prone segments in a very high-frequency word",Hypothesis
lecture,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-kt-' and rhotic ending separately","directly names the Retell Lecture item type",Hypothesis
seminar,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the final rhotic vowel explicitly","low risk; primarily a Pronunciation-band item",Hypothesis
graduate,"adjective/verb suffix-vowel confusion (third data point, with appropriate/approximate)",vowel,"drill both endings side by side, confirming grammatical role first","same mechanism as appropriate/approximate",Hypothesis
undergraduate,"equal stress given word length (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; mark stress explicitly","shares its root with graduate; drill together for efficiency",Hypothesis
degree,"low documented risk",none,"confirm stress on syllable 2 against a dictionary","low risk overall",Hypothesis
qualification,"consonant cluster simplification; equal stress (Part IV Ch.1 Mistake 4, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; confirm stress before -tion","length makes this high-value relative to frequency",Hypothesis
career,"rhotic-vowel under-production; -eer stress-attraction pattern (Part II Ch.3)",vowel,"drill final rhotic vowel, confirming stress lands there","first data point for this batch's -eer stress-attraction note",Hypothesis
employment,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill final '-mənt' cluster; confirm stress does not shift","contrast with employee reinforces the -ee stress-attraction pattern",Hypothesis
employee,"applying employ's stress pattern instead of shifting to -ee (new -ee suffix pattern)",stress,"drill alongside employer to contrast the two stress patterns","using the root-word stress pattern here risks Content-level mismatch",Hypothesis
employer,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill alongside employee, marking each word's stressed syllable","contrast with employee is the main teaching point",Hypothesis
workplace,"consonant cluster simplification, heavy medial cluster (Part IV Ch.1 Mistake 4)",consonant,"break '-rkpl-' into smaller sub-sequences","primarily a Pronunciation-band risk given the dense cluster",Hypothesis
colleague,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
supervisor,"v→w substitution; diphthong monophthongization (Part IV Ch.1 Mistake 2, Ch.5 Mistake 2)","consonant, vowel","break into syllable groups; drill /v/ and diphthong separately","three risk sources in one high-frequency word",Hypothesis
management,"consonant cluster simplification, heavy final cluster (Part IV Ch.1 Mistake 4)",consonant,"break final cluster into smaller sub-sequences","primarily a Pronunciation-band risk given the dense cluster",Hypothesis
manage,"word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3)",consonant,"drill final /dʒ/ closure without an inserted vowel","dropped final /dʒ/ risks Content mismatch given short word length",Hypothesis
organization,"z→s devoicing risk; equal stress (Part IV Ch.2 Mistake 1)","consonant, stress","break into syllable groups; confirm stress before -tion","very high frequency despite several compounding risks",Hypothesis
organize,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"drill rhotic vowel and final diphthong separately","compare with organization to see the -ation stress shift",Hypothesis
participate,"equal stress given word length (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; mark stress on syllable 2","compare against participant - a further stress-stable pair",Hypothesis
participant,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill alongside participate, confirming shared stress","very high frequency in Essay/Retell Lecture research contexts",Hypothesis
volunteer,"v→w substitution; -eer stress-attraction pattern (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ separately; confirm stress lands on final syllable","second data point for this batch's -eer stress-attraction note",Hypothesis
schedule,"initial-cluster epenthesis; mixing GA/RP forms (Part IV Ch.1 Mistake 4 extended to onset)",consonant,"drill '-sk-' as a single unbroken onset","pick one consistent accent-model form rather than mixing GA and RP",Hypothesis
deadline,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate /aɪ/ glide before natural-speed shadowing","low-to-medium risk; primarily a Pronunciation-band item",Hypothesis
duration,"not a segmental Part IV pattern; -tion rule reinforcement",stress,"confirm stress falls immediately before -tion","low risk; reinforces Part II Ch.4 suffix-stress rule",Hypothesis
semester,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-mst-' and rhotic vowel separately","primarily a Pronunciation-band risk at this word's frequency",Hypothesis
academic,"wrong-syllable stress despite -ic rule (Part IV Ch.2 Mistake 3)",stress,"break into syllable groups; confirm stress before -ic","names the test itself (PTE Academic) - worth getting exactly right",Hypothesis
scholarship,"consonant cluster simplification at two sites (Part IV Ch.1 Mistake 4)",consonant,"drill '-sk-' and final '-ʃɪp' separately","two cluster sites plus rhotic vowel make this high-value",Hypothesis
climate,"consonant cluster simplification; diphthong monophthongization (Part IV Ch.1 Mistake 4, Ch.5 Mistake 2)","consonant, vowel","drill '-kl-' and diphthong separately","very high frequency in Read Aloud/Essay environmental topics",Hypothesis
species,"initial-cluster epenthesis (Part IV Ch.1 Mistake 4 extended to onset)",consonant,"drill '-sp-' as a single unbroken onset","high frequency in biology/environment Read Aloud passages",Hypothesis
ecosystem,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"drill diphthong and medial cluster separately","high frequency in environmental Read Aloud/Retell Lecture passages",Hypothesis
sustainable,"diphthong monophthongization; syllable-final /l/ weakening (Part IV Ch.5 Mistake 2, Ch.1 Mistake 5)","vowel, consonant","drill diphthong and final '-bəl' separately","very high frequency; pairs with sustainability",Hypothesis
sustainability,"equal stress given word length; first -ity rule data point (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; confirm stress before -ity","length makes this a high-value drilling target",Hypothesis
renewable,"syllable-final /l/ weakening (Part IV Ch.1 Mistake 5)",consonant,"drill final '-bəl' maintaining full alveolar contact","very high frequency (renewable energy)",Hypothesis
emission,"not a segmental Part IV pattern; -tion rule reinforcement",stress,"confirm stress falls immediately before -tion","very high frequency (carbon emissions)",Hypothesis
pollution,"not a segmental Part IV pattern; -tion rule reinforcement",stress,"confirm stress falls immediately before -tion","very high frequency in environmental content",Hypothesis
conservation,"equal stress given word length (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; confirm stress before -tion","high frequency in environmental Read Aloud/Retell Lecture content",Hypothesis
biodiversity,"diphthong monophthongization; v→w substitution; equal stress (Part IV Ch.5 Mistake 2, Ch.1 Mistake 2, Ch.2 Mistake 1)","vowel, consonant, stress","break into syllable groups; drill diphthongs and /v/ separately","length and multiple risk sources make this high-value",Hypothesis
temperature,"over-articulating a natively compressed syllable (connects to Part II Ch.7)",rhythm,"compare careful four-syllable form against natural three-syllable form","over-articulated version may sound less natural",Hypothesis
atmosphere,"consonant cluster simplification, dense medial cluster (Part IV Ch.1 Mistake 4)",consonant,"break medial cluster into smaller sub-sequences","unusually dense cluster makes this high-value to drill",Hypothesis
molecule,"medial /kj/ glide dropped (same pattern as accurate, curriculum)",consonant,"drill the /kj/ glide explicitly before the full word","low-to-medium risk; primarily Pronunciation-band",Hypothesis
organism,"rhotic-vowel under-production; z→s devoicing risk (Part II Ch.3)","vowel, consonant","drill /z/ against /s/ explicitly before the full word","high frequency in biology-topic Read Aloud passages",Hypothesis
mechanism,"z→s devoicing risk (same flagged extension as organism)",consonant,"drill /z/ against /s/ explicitly before the full word","this book uses 'mechanism' as a core recurring term itself",Hypothesis
artificial,"rhotic-vowel under-production; syllable-final /l/ weakening (Part II Ch.3, Part IV Ch.1 Mistake 5)","vowel, consonant","drill rhotic vowel and final '-ʃəl' separately","very high frequency given 'artificial intelligence'",Hypothesis
intelligence,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the final '-dʒəns' cluster without an inserted vowel","very high frequency given 'artificial intelligence'",Hypothesis
algorithm,"ð→d/z substitution, first medial-position example (Part IV Ch.1 Mistake 1)",consonant,"drill the medial /ð/ specifically, same target as word-initial cases","medial environment worth separate attention from word-initial cases",Hypothesis
device,"v→w substitution; diphthong monophthongization (Part IV Ch.1 Mistake 2, Ch.5 Mistake 2)","consonant, vowel","drill /v/ and diphthong separately","two compounding error-prone segments in a very high-frequency word",Hypothesis
equipment,"consonant cluster simplification at two sites (Part IV Ch.1 Mistake 4)",consonant,"drill '-kw-' and final '-pmənt' separately","two cluster sites raise combined risk",Hypothesis
infrastructure,"consonant cluster simplification, one of the densest sequences so far (Part IV Ch.1 Mistake 4)",consonant,"break the medial cluster into small sub-sequences, build up gradually","one of the highest-value drilling targets in the lexicon to date",Hypothesis
transportation,"consonant cluster simplification at two sites; equal stress (Part IV Ch.1 Mistake 4, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; drill both clusters separately","very high frequency in Read Aloud/Essay city/infrastructure content",Hypothesis
vehicle,"silent h pronounced; syllable-final /l/ weakening (illustrates Part II Ch.1; Part IV Ch.1 Mistake 5)","consonant","verify silent h against dictionary IPA before shadowing","pronounced /h/ risks sounding non-native even if still recognized",Hypothesis
efficiency,"inherited efficient/sufficient minimal-pair risk (Part IV Ch.1 pattern)",stress,"drill alongside efficient, confirming stress does not shift","stress does not move when -ency is added",Hypothesis
capacity,"low documented risk",none,"confirm stress on syllable 2 against a dictionary","low risk overall",Hypothesis
quantity,"near-minimal pair confusion with quality (new pattern)",lexical,"drill alongside quality, isolating the distinguishing medial consonant","confusing this pair risks a genuine Content-level word substitution",Hypothesis
quality,"near-minimal pair confusion with quantity (new pattern)",lexical,"drill alongside quantity, isolating the distinguishing medial consonant","confusing this pair risks a genuine Content-level word substitution",Hypothesis
volume,"v→w substitution; medial /lj/ glide dropped (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ and the /lj/ glide separately","two risk sources in a very high-frequency measurement word",Hypothesis
density,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the final '-nsəti' cluster without an inserted vowel","primarily a Pronunciation-band risk at this word's frequency",Hypothesis
velocity,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill initial /v/ before shadowing the full word","low-to-medium risk; primarily a Pronunciation-band item",Hypothesis
medicine,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
medical,"syllable-final /l/ weakening (Part IV Ch.1 Mistake 5)",consonant,"drill final '-kəl' maintaining full alveolar contact for /l/","primarily a Pronunciation-band risk",Hypothesis
treatment,"consonant cluster simplification at two sites (Part IV Ch.1 Mistake 4)",consonant,"drill '-tr-' and final '-tmənt' separately","two cluster sites in a very high-frequency word",Hypothesis
symptom,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-mpt-' as a continuous sequence without an inserted vowel","primarily a Pronunciation-band risk at this word's frequency",Hypothesis
diagnosis,"diphthong monophthongization at two sites (Part IV Ch.5 Mistake 2)",vowel,"drill both diphthongs separately before combining","two diphthongs make this a high-value drilling target",Hypothesis
disease,"z→s devoicing at two positions (same flagged extension as reasonable, organism)",consonant,"drill both /z/ sounds against /s/ explicitly","compounded devoicing risk from two /z/ positions",Hypothesis
virus,"v→w substitution; diphthong monophthongization (Part IV Ch.1 Mistake 2, Ch.5 Mistake 2)","consonant, vowel","drill /v/ and diphthong separately","two compounding error-prone segments in a very high-frequency word",Hypothesis
vaccine,"v→w substitution; mixing attested stress variants (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ explicitly; confirm which stress variant your dictionary uses","pick one consistent stress variant, same caution as controversial",Hypothesis
immune,"medial /mj/ glide dropped (not a heavily documented Part IV pattern)",consonant,"drill the /mj/ glide explicitly before the full word","low-to-medium risk; primarily Pronunciation-band",Hypothesis
nutrition,"consonant cluster simplification; -tion rule reinforcement (Part IV Ch.1 Mistake 4)",consonant,"drill '-tr-'; confirm stress before -tion","high frequency in health-topic Read Aloud passages",Hypothesis
exercise,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"drill the final diphthong /aɪz/ explicitly","very high frequency in health-topic Read Aloud/Essay content",Hypothesis
psychology,"silent p pronounced (illustrates Part II Ch.1, third silent-letter example)",consonant,"verify silent p against dictionary IPA before shadowing","pronounced initial /p/ risks the word being misrecognized",Hypothesis
behavior,"v→w substitution; rhotic-vowel under-production (Part IV Ch.1 Mistake 2)","consonant, vowel","drill /v/ and rhotic vowel separately","very high frequency in psychology-topic content",Hypothesis
emotion,"diphthong monophthongization; -tion rule reinforcement (Part IV Ch.5 Mistake 2)",vowel,"drill diphthong; confirm stress before -tion","high frequency in psychology-topic content",Hypothesis
memory,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
perception,"rhotic-vowel under-production; -tion rule reinforcement (Part II Ch.3)",vowel,"drill rhotic vowel; confirm stress before -tion","high frequency in psychology-topic content",Hypothesis
cognitive,"consonant cluster simplification; coda /v/ risk (Part IV Ch.1 Mistake 4; extension of Mistake 2)","consonant","drill '-ɡn-' and final /v/ separately","further data point for the coda-/v/ pattern",Hypothesis
awareness,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","low risk; primarily a Pronunciation-band item",Hypothesis
history,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-st-' as a continuous sequence","compare with historical to see the -ical stress shift",Hypothesis
historical,"wrong-syllable stress if -ic/-ical rule not applied; syllable-final /l/ weakening (Part IV Ch.2 Mistake 3, Ch.1 Mistake 5)","stress, consonant","drill alongside history, exaggerating the stress-shift contrast","first concrete -ical shift example, confirms -ic rule extends",Hypothesis
culture,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the final rhotic vowel explicitly","low risk; primarily a Pronunciation-band item",Hypothesis
cultural,"rhotic-vowel under-production; syllable-final /l/ weakening (Part II Ch.3, Part IV Ch.1 Mistake 5)","vowel, consonant","drill alongside culture, confirming stress does not move","this -al addition does NOT shift stress, unlike historical",Hypothesis
century,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-ntʃ-' as a continuous sequence","high frequency in history-topic Read Aloud passages",Hypothesis
ancient,"diphthong monophthongization; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistake 4)","vowel, consonant","drill diphthong and final cluster separately","two compounding error-prone segments in a high-frequency word",Hypothesis
civilization,"v→w substitution; equal stress (Part IV Ch.1 Mistake 2, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; drill /v/ separately","length makes this high-value relative to frequency",Hypothesis
heritage,"word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3)",consonant,"drill rhotic vowel and final /dʒ/ closure separately","high frequency in culture-topic Read Aloud/Essay content",Hypothesis
tradition,"consonant cluster simplification; -tion rule reinforcement (Part IV Ch.1 Mistake 4)",consonant,"drill '-tr-'; confirm stress before -tion","stress-stable with traditional, unlike history/historical",Hypothesis
custom,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-st-' as a continuous sequence","primarily a Pronunciation-band risk",Hypothesis
religion,"low documented risk",none,"confirm stress on syllable 2 against a dictionary","low risk overall",Hypothesis
religious,"low documented risk",none,"drill alongside religion, confirming shared stress pattern","confirms -ious ending does not shift stress",Hypothesis
budget,"word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3)",consonant,"practice final /t/ closure without releasing into a vowel","very high frequency in Essay/Describe Image financial contexts",Hypothesis
investment,"v→w substitution; consonant cluster simplification (Part IV Ch.1 Mistakes 2 and 4)","consonant","drill /v/ and final '-tmənt' separately","two compounding error-prone segments in a very high-frequency word",Hypothesis
invest,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ before shadowing the full word","low-to-medium risk; primarily a Pronunciation-band item",Hypothesis
profit,"consonant cluster simplification; word-final consonant deletion/epenthesis (Part IV Ch.1 Mistakes 4 and 3)","consonant","drill '-pr-' and final /t/ separately","two risk sources in a very high-frequency financial word",Hypothesis
revenue,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ before shadowing the full word","very high frequency in Describe Image financial data contexts",Hypothesis
expense,"consonant cluster simplification at two sites (Part IV Ch.1 Mistake 4)",consonant,"drill both clusters separately before combining","two cluster sites in a high-frequency financial word",Hypothesis
finance,"stress-variability caution, not a documented Part IV pattern",stress,"confirm which stress variant your target dictionary uses","pick one consistent stress variant rather than mixing both",Hypothesis
financial,"syllable-final /l/ weakening (Part IV Ch.1 Mistake 5)",consonant,"drill final '-ʃəl' maintaining full alveolar contact for /l/","very high frequency in Essay/Describe Image financial contexts",Hypothesis
commercial,"rhotic-vowel under-production; syllable-final /l/ weakening (Part II Ch.3, Part IV Ch.1 Mistake 5)","vowel, consonant","drill rhotic vowel and final '-ʃəl' separately","high frequency in business-topic Read Aloud/Essay content",Hypothesis
corporate,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","high frequency in business-topic content",Hypothesis
corporation,"equal stress given word length (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; confirm stress before -tion","high frequency in business-topic Read Aloud/Essay content",Hypothesis
industry,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the medial cluster as a continuous sequence","compare with industrial to see the -ial stress shift",Hypothesis
industrial,"wrong-syllable stress if -ial shift not applied (Part IV Ch.2 Mistake 3)",stress,"drill alongside industry, exaggerating the stress-shift contrast","second concrete -ial shift example alongside history/historical",Hypothesis
market,"word-final consonant deletion/epenthesis on a single final consonant (Part IV Ch.1 Mistake 3)",consonant,"drill the rhotic vowel and final /t/ closure","very high frequency in business/economics Read Aloud/Essay content",Hypothesis
marketing,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","very high frequency in business-topic content",Hypothesis
competition,"equal stress given word length (Part IV Ch.2 Mistake 1)",stress,"break into syllable groups; confirm stress before -tion","very high frequency in business-topic Read Aloud/Essay content",Hypothesis
competitive,"coda /v/ risk (extension of Part IV Ch.1 Mistake 2 to coda position)",consonant,"drill the final /v/ explicitly","further data point for the coda-/v/ pattern",Hypothesis
consumer,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the final rhotic vowel explicitly","very high frequency in Essay/business-topic content",Hypothesis
consumption,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the medial cluster as a continuous sequence","high frequency in Describe Image/Essay data contexts",Hypothesis
transaction,"consonant cluster simplification; z→s devoicing risk (Part IV Ch.1 Mistake 4)","consonant","drill '-tr-' and /z/ separately before combining","high frequency in business/finance content",Hypothesis
currency,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","high frequency in economics-topic Read Aloud content",Hypothesis
inflation,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate the /eɪ/ glide before natural-speed shadowing","high frequency in economics-topic Read Aloud/Essay content",Hypothesis
taxation,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate the /eɪ/ glide before natural-speed shadowing","high frequency in economics/policy-topic content",Hypothesis
income,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-ŋk-' as a continuous nasal-to-stop transition","very high frequency in Essay/Describe Image financial contexts",Hypothesis
salary,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
wage,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate the /eɪ/ glide before natural-speed shadowing","low risk; primarily a Pronunciation-band item",Hypothesis
entrepreneur,"consonant cluster simplification; wrong-syllable stress (Part IV Ch.1 Mistake 4)","consonant, stress","break into syllable groups; confirm primary stress lands on the final syllable","cluster density and unusual final stress make this high-value",Hypothesis
enterprise,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"drill the rhotic vowel and final diphthong separately","primarily a Pronunciation-band risk at this word's frequency",Hypothesis
shareholder,"compound noun stress applied incorrectly (new pattern)",stress,"drill the compound stress explicitly: strong SHARE, weaker -holder","as a compound noun, primary stress belongs on the first element",Hypothesis
stakeholder,"compound noun stress applied incorrectly (new pattern)",stress,"drill the compound stress explicitly, then each segmental target","same compound-stress rule as shareholder",Hypothesis
region,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
regional,"syllable-final /l/ weakening (Part IV Ch.1 Mistake 5)",consonant,"drill final '-nəl' maintaining full alveolar contact for /l/","primarily a Pronunciation-band risk",Hypothesis
rural,"syllable-final /l/ weakening; repeated /r/ challenge (Part IV Ch.1 Mistake 5)","consonant","drill both /r/ sounds distinctly, then the final /l/","forms a natural contrast pair with urban",Hypothesis
urban,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","forms a natural contrast pair with rural",Hypothesis
suburb,"rhotic-vowel under-production (Part II Ch.3)",vowel,"drill the rhotic vowel explicitly","low risk; primarily a Pronunciation-band item",Hypothesis
municipal,"syllable-final /l/ weakening; /mj/ glide dropped (Part IV Ch.1 Mistake 5)","consonant","drill the /mj/ glide and final '-pəl' separately","two risk sources in a moderately high-frequency word",Hypothesis
residential,"z→s devoicing risk; syllable-final /l/ weakening (same flagged extension as reasonable)","consonant","break into syllable groups; drill /z/ and final '-ʃəl' separately","high frequency in urban-planning-topic Read Aloud content",Hypothesis
territory,"rhotic-vowel under-production at two positions (Part II Ch.3)",vowel,"drill both rhotic vowels separately before combining","two rhotic sites raise combined Pronunciation-band risk",Hypothesis
boundary,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate the /aʊ/ glide before natural-speed shadowing","primarily a Pronunciation-band risk at this word's frequency",Hypothesis
coastal,"diphthong monophthongization; syllable-final /l/ weakening (Part IV Ch.5 Mistake 2, Ch.1 Mistake 5)","vowel, consonant","drill the diphthong and final '-təl' separately","two compounding error-prone segments",Hypothesis
media,"low documented risk",none,"confirm stress on syllable 1 against a dictionary","low risk overall",Hypothesis
journalism,"z→s devoicing risk (same flagged extension as organism)",consonant,"drill the rhotic vowel and /z/ separately","high frequency in media-topic Read Aloud content",Hypothesis
journalist,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the rhotic vowel and final cluster separately","high frequency in media-topic Read Aloud content",Hypothesis
broadcast,"consonant cluster simplification at two sites; compound noun stress (Part IV Ch.1 Mistake 4)","consonant, stress","drill '-br-' and final '-dkæst' separately","two cluster sites in a high-frequency media word",Hypothesis
publication,"consonant cluster simplification; equal stress (Part IV Ch.1 Mistake 4, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; confirm stress before -tion","second concrete -tion shift-from-base-verb example after organize",Hypothesis
publish,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-pl-' as a continuous sequence","compare with publication to see the -tion stress shift",Hypothesis
entertainment,"diphthong monophthongization; consonant cluster simplification (Part IV Ch.5 Mistake 2, Ch.1 Mistake 4)","vowel, consonant","break into syllable groups; drill diphthong and final cluster separately","several risk sources in a very high-frequency media-topic word",Hypothesis
audience,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill the final '-ns' cluster without an inserted vowel","very high frequency in media/entertainment-topic content",Hypothesis
advertisement,"v→w substitution; mixing GA/RP forms (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ explicitly; confirm consistent GA stress form","pick one consistent accent-model form rather than mixing",Hypothesis
advertise,"v→w substitution; diphthong monophthongization (Part IV Ch.1 Mistake 2, Ch.5 Mistake 2)","consonant, vowel","drill /v/ and the final diphthong separately","two compounding error-prone segments",Hypothesis
platform,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill '-pl-' and the rhotic vowel separately","very high frequency in technology-topic Read Aloud/Essay content",Hypothesis
network,"rhotic-vowel under-production; compound noun stress (Part II Ch.3)",vowel,"drill the compound stress explicitly, then the rhotic vowel","clear short compound-stress example: strong NET, weaker -work",Hypothesis
digital,"syllable-final /l/ weakening (Part IV Ch.1 Mistake 5)",consonant,"drill final '-təl' maintaining full alveolar contact for /l/","very high frequency in technology-topic content",Hypothesis
software,"consonant cluster simplification; compound noun stress (Part IV Ch.1 Mistake 4)","consonant, stress","drill the compound stress explicitly, then the initial cluster","contrast directly with hardware",Hypothesis
hardware,"rhotic-vowel under-production; compound noun stress (Part II Ch.3)",vowel,"drill the compound stress explicitly, then the rhotic vowel","same compound-stress pattern as software",Hypothesis
interface,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"drill the rhotic vowel and final diphthong separately","high frequency in technology-topic Read Aloud content",Hypothesis
database,"diphthong monophthongization at two sites; compound noun stress (Part IV Ch.5 Mistake 2)","vowel, stress","drill the compound stress, then both diphthongs separately","compound stress plus two diphthongs make this high-value",Hypothesis
server,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ and both rhotic vowels separately","two rhotic sites plus /v/ raise combined risk",Hypothesis
bandwidth,"θ→s substitution, first word-final-position example; compound noun stress (Part IV Ch.1 Mistake 1)","consonant, stress","drill the final /θ/ in this word-final position specifically","third distinct environment for /θ/ substitution risk",Hypothesis
connectivity,"coda /v/ risk; equal stress; fourth -ity rule data point (extension of Part IV Ch.1 Mistake 2, Ch.2 Mistake 1)","consonant, stress","break into syllable groups; confirm stress before -ity","length and coda-/v/ pattern make this high-value",Hypothesis
